symbol,name,industry,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
sh600519,贵州茅台,白酒,2020-12-31,10141.59,10428.0,10432.93,10131.54,38860.0,7682300672.0,2.98,3.23,326.61,0.31
sh600519,贵州茅台,白酒,2021-01-04,10437.95,10422.98,10463.12,10356.7,43514.0,8686920192.0,1.02,-0.05,-5.02,0.35
sh600519,贵州茅台,白酒,2021-01-05,10387.8,10736.77,10736.77,10349.92,52116.0,10592557312.0,3.71,3.01,313.79,0.41
sh600519,贵州茅台,白酒,2021-01-06,10763.66,10940.53,11066.15,10619.09,47410.0,9882593792.0,4.16,1.9,203.76,0.38
sh600519,贵州茅台,白酒,2021-01-07,10925.46,11141.52,11141.52,10814.91,37931.0,7991178752.0,2.99,1.84,200.99,0.3
sh600519,贵州茅台,白酒,2021-01-08,11151.57,10890.28,11196.19,10754.71,53862.0,11345202944.0,3.96,-2.25,-251.24,0.43
sh600519,贵州茅台,白酒,2021-01-11,10890.28,10939.17,11194.28,10732.5,51080.0,10768565504.0,4.24,0.45,48.89,0.41
sh600519,贵州茅台,白酒,2021-01-12,10880.23,11246.54,11246.54,10865.16,41059.0,8800558336.0,3.49,2.81,307.37,0.33
sh600519,贵州茅台,白酒,2021-01-13,11262.12,11262.12,11309.0,11116.4,34390.0,7418330880.0,1.71,0.14,15.58,0.27
sh600519,贵州茅台,白酒,2021-01-14,11221.92,11111.37,11257.09,11021.48,36152.0,7722089728.0,2.09,-1.34,-150.75,0.29
sh600519,贵州茅台,白酒,2021-01-15,11015.9,10850.08,11113.13,10583.77,59509.0,12372103168.0,4.76,-2.35,-261.29,0.47
sh600519,贵州茅台,白酒,2021-01-18,10744.86,10754.61,10897.72,10640.4,39144.0,8076715776.0,2.37,-0.88,-95.47,0.31
sh600519,贵州茅台,白酒,2021-01-19,10805.41,10485.33,10921.94,10472.47,46345.0,9479278592.0,4.18,-2.5,-269.28,0.37
sh600519,贵州茅台,白酒,2021-01-20,10478.25,10642.21,10716.88,10350.12,45082.0,9126453248.0,3.5,1.5,156.88,0.36
sh600519,贵州茅台,白酒,2021-01-21,10679.24,10789.79,10890.38,10644.07,38310.0,7953455872.0,2.31,1.39,147.58,0.3
sh600519,贵州茅台,白酒,2021-01-22,10784.76,10839.78,10940.53,10740.04,29248.0,6090260480.0,1.86,0.46,49.99,0.23
sh600519,贵州茅台,白酒,2021-01-25,10855.11,11317.39,11340.0,10855.11,55957.0,12029474560.0,4.47,4.41,477.61,0.45
sh600519,贵州茅台,白酒,2021-01-26,11367.64,11151.02,11377.69,11066.7,31747.0,6820173312.0,2.75,-1.47,-166.37,0.25
sh600519,贵州茅台,白酒,2021-01-27,11151.02,10885.26,11151.02,10865.16,37120.0,7809446400.0,2.56,-2.38,-265.76,0.3
sh600519,贵州茅台,白酒,2021-01-28,10840.03,10880.23,10989.07,10739.64,35129.0,7337084416.0,2.29,-0.05,-5.03,0.28
sh600519,贵州茅台,白酒,2021-01-29,10946.51,11021.83,11189.16,10891.39,33701.0,7166179328.0,2.74,1.3,141.6,0.27
sh600519,贵州茅台,白酒,2021-02-01,11091.27,10987.36,11242.02,10915.41,29341.0,6219639040.0,2.96,-0.31,-34.47,0.23
sh600519,贵州茅台,白酒,2021-02-02,11001.93,11166.65,11191.72,10951.08,34582.0,7372233472.0,2.19,1.63,179.29,0.28
sh600519,贵州茅台,白酒,2021-02-03,11191.77,11392.31,11434.32,11141.52,38714.0,8384049408.0,2.62,2.02,225.66,0.31
sh600519,贵州茅台,白酒,2021-02-04,11397.79,12050.25,12096.23,11397.79,63851.0,14596930304.0,6.13,5.78,657.94,0.51
sh600519,贵州茅台,白酒,2021-02-05,12071.11,12010.81,12270.09,11900.26,39729.0,9253566208.0,3.07,-0.33,-39.44,0.32
sh600519,贵州茅台,白酒,2021-02-08,12131.41,12291.19,12341.84,12010.81,35786.0,8420758528.0,2.76,2.33,280.38,0.28
sh600519,贵州茅台,白酒,2021-02-09,12291.19,12731.52,12731.52,12196.73,33297.0,7972930048.0,4.35,3.58,440.33,0.27
sh600519,贵州茅台,白酒,2021-02-10,12875.07,13457.95,13458.96,12875.07,61371.0,15675929600.0,4.59,5.71,726.43,0.49
sh600519,贵州茅台,白酒,2021-02-18,13392.53,12804.73,13593.02,12774.58,65912.0,16704135168.0,6.08,-4.85,-653.22,0.52
sh600519,贵州茅台,白酒,2021-02-19,12705.04,12749.45,12933.66,12355.51,59385.0,14525164544.0,4.52,-0.43,-55.28,0.47
sh600519,贵州茅台,白酒,2021-02-22,12724.33,11885.29,12724.33,11836.05,78935.0,18498777344.0,6.97,-6.78,-864.16,0.63
sh600519,贵州茅台,白酒,2021-02-23,11770.32,11980.66,12171.05,11769.62,57455.0,13316110848.0,3.38,0.8,95.37,0.46
sh600519,贵州茅台,白酒,2021-02-24,11985.64,11387.74,12035.93,11244.53,82116.0,18195034368.0,6.61,-4.95,-592.92,0.65
sh600519,贵州茅台,白酒,2021-02-25,11488.23,11191.77,11566.12,11047.11,59726.0,12982145792.0,4.56,-1.72,-195.97,0.48
sh600519,贵州茅台,白酒,2021-02-26,10940.53,11054.99,11342.26,10776.22,66525.0,14097015552.0,5.06,-1.22,-136.78,0.53
sh600519,贵州茅台,白酒,2021-03-01,11337.49,11231.97,11337.49,11041.03,44916.0,9686945536.0,2.68,1.6,176.98,0.36
sh600519,贵州茅台,白酒,2021-03-02,11342.51,10729.49,11342.51,10603.87,70765.0,14796698624.0,6.58,-4.47,-502.48,0.56
